Region,MinResult,Year
Дніпропетровська область,100.0,2019
Сумська область,100.0,2019
Житомирська область,100.0,2019
Закарпатська область,100.0,2019
Рівненська область,100.0,2019
Луганська область,100.0,2019
Кіровоградська область,100.0,2019
Львівська область,100.0,2019
Волинська область,100.0,2019
Чернівецька область,100.0,2019
Харківська область,100.0,2019
Івано-Франківська область,100.0,2019
Тернопільська область,100.0,2019
Херсонська область,100.0,2019
Миколаївська область,100.0,2019
Хмельницька область,100.0,2019
Запорізька область,100.0,2019
Полтавська область,100.0,2019
Донецька область,100.0,2019
Черкаська область,100.0,2019
м.Київ,100.0,2019
Київська область,100.0,2019
Чернігівська область,100.0,2019
Вінницька область,100.0,2019
Одеська область,100.0,2019
